scriptSerial,title,TitleJP-CN,tragedySet,creator,box,setNumber,boxAlt,setNumberAlt,loopsHard,loopsEasy,loopsRange,daysPerLoop,specialRules,notes,mainPlot,SubPlot 1,SubPlot 2,Cast 1 ID,Cast 1 Role,Cast 2 ID,Cast 2 Role,Cast 3 ID,Cast 3 Role,Cast 4 ID,Cast 4 Role,Cast 5 ID,Cast 5 Role,Cast 6 ID,Cast 6 Role,Cast 7 ID,Cast 7 Role,Cast 8 ID,Cast 8 Role,Cast 9 ID,Cast 9 Role,Cast 10 ID,Cast 10 Role,Cast 11 ID,Cast 11 Role,Cast 12 ID,Cast 12 Role,Day 1,Incident 1,Culprit 1 ID,Culprit 1 Role,Day 2,Incident 2,Culprit 2 ID,Culprit 2 Role,Day 3,Incident 3,Culprit 3 ID,Culprit 3 Role,Day 4,Incident 4,Culprit 4 ID,Culprit 4 Role,Day 5,Incident 5,Culprit 5 ID,Culprit 5 Role,Day 6,Incident 6,Culprit 6 ID,Culprit 6 Role,Day 7,Incident 7,Culprit 7 ID,Culprit 7 Role,Day 8,Incident 8,Culprit 8 ID,Culprit 8 Role,Day 9,Incident 9,Culprit 9 ID,Culprit 9 Role,Day 10,Incident 10,Culprit 10 ID,Culprit 10 Role
AH-001,Bewitching Ruination,蠱惑ルイネイツョン ,Another Horizon,BakaFire ,,,,,3,4,3 – 4,6,,,The Devil’s Will,The One Who Invites,Ego Wave,Girl Student,Enchanter,Rich Man’s Daughter,Invader,Shrine Maiden,Hider,Alien,Agent,Office Worker,Animus,Informer,Person,Journalist,Person,Doctor,Agitator,,,,,,,,,3,Missing Person,Journalist,,4,Missing Person,Office Worker,,5,Brainwashing,Informer,,6,Insane Murder,Rich Man’s Daughter,,,,,,,,,,,,,,,,,,,,,,,,,
AH-002,Xross Border,,Another Horizon,USB brothers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH-003,Missing Weapon GIRLS,欠落兵器GIRLS. ,Another Horizon,GEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH-004,Black Dawn,黑の黎明 ,Another Horizon,十六夜 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH-005,Empress of the Abyss' Wild Dance,†淵・帝・乱・舞† ,Another Horizon,渊帝 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH-F-001,"Actually, I Am…",私、実は……,Another Horizon,translated by megakun,Another Horizon,1,Fan,,,3,3,5,,,Shadow Demon King,The World of Dollhouse,Threads of Fate,Boy Student,Person,Rich Man’s Daughter,Person,Shrine Maiden,Person,Doctor,Person,Class Rep,Person,Alien,Person,Pop Idol,Person,Journalist,Gossiper,Henchman,Twilight,,,,,,,1,Confession,Rich Man’s Daughter,,2,Confession,Pop Idol,,3,Confession,Alien,,4,Confession,Class Rep,,5,Confession,Shrine Maiden,,,,,,,,,,,,,,,,,,,,,
AH-F-002,I‘m A Normal Human,私は普通の人間,Another Horizon,translated by megakun,Another Horizon,2,Fan,,,3,3,6,,,Parallel World War,Threads of Fate,The World of Dollhouse,Girl Student,Person,Shrine Maiden,Person,Informer,Person,Doctor,Person,Alien,Person,Godly Being,Agent (∞ 2),Pop Idol,Person,Boss,Gossiper (Hospital),,,,,,,,,1,Confession,Alien,,2,World Convergence,Godly Being,,3,Confession,Girl Student,,4,Confession,Pop Idol,,5,Confession,Informer,,6,Confession,Doctor,,,,,,,,,,,,,,,,,
AH-F-003,Packed Tragedy,詰め惨劇,Another Horizon,translated by megakun,Another Horizon,3,Fan,,,7,7,2,,,Lost Heart,Ego Wave,Moonside City,Boy Student,Gossiper,Girl Student,Agitator,Rich Man’s Daughter,Neurotic,Police Officer,Agent,Doctor,Person,Patient,Brain,Journalist,Person,Henchman,"['Animus', {'world': 'abnormal'}]",Illusion,Person,,,,,,,1,Small Force,Police Officer,,2,Hospital Incident,Rich Man’s Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH-F-004,"I Hope This Reaches You, The Only One in the World",世界でたった一人の君に伝わりますように,Another Horizon,Bakafire,Another Horizon,4,Fan,,,5,5,6,,,Shadow Demon King,Ego Wave,Moonside City,Boy Student,Person,Rich Man’s Daughter,Gossiper,Office Worker,Person,Patient,Neurotic,Mystery Boy,Agent,Pop Idol,Twilight,Journalist,Person,Scientist,Agitator,Illusion,"['Animus', {'world': 'normal'}]",,,,,,,1,World End,Rich Man’s Daughter,,2,World Convergence,Mystery Boy,,3,Brainwashing,Patient,,4,Assassination,Journalist,,5,Drifting to Another World,Illusion,,6,Missing Person,Office Worker,,,,,,,,,,,,,,,,,
AH-F-005,Fictional Collapse,虚構崩壊,Another Horizon,translated by megakun,Another Horizon,5,Fan,,,5,5,6,,,Parallel World War,Fanatic’s Sacrifices,Ego Wave,Boy Student,Person,Rich Man’s Daughter,Person,Shrine Maiden,Person,Office Worker,Person,Informer,Agitator,Doctor,"['Animus', {'world': 'abnormal'}]",Class Rep,Person,Godly Being (∞ 3),Agent,Pop Idol,Fanatic,Illusion,"['Animus', {'world': 'normal'}]",,,,,3,World Convergence,Doctor,,4,World Convergence,Godly Being,,6,World End,Illusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-001,Beyond Praying Stage,,Another HorizonR,NAOKI,Rei,1,,,,3,3,4,,,Into Nothingness,Jekyll and Hyde,Through the Looking-Glass,Girl Student,Alice,Rich Man’s Daughter,Key Person | Brain,Class Rep,Person,Shrine Maiden,Marionette,Office Worker,Marionette,Pop Idol,Obstinate,Part-Timer,Brain,Soldier,Conspiracy Theorist| Serial Killer,,,,,,,,,3,Last Will,Rich Man’s Daughter,,4,Crime of Passion,Pop Idol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-002,Cordxxx ,,Another HorizonR,M·Hydromel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-003,The Meaning of Despair,絶対絶望概念 ,Another HorizonR,零の最果て,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
